Status,pdate,Job ID,Job title,Company Name,DE,Company Location,Seniority Level,Industry,Employment Type,Job Functions,Number of applicants,pdatetime,Posted Date,cdatetime,cdate
2 Closed,2020-04-21,1829637195,Data Scientist,Alldus,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-21 09:17:26.802156,Posted 1 day ago,2020-04-22 09:17:26.802156,2020-04-22
2 Closed,2020-04-21,1829926671,Senior Data Scientist,BCG Digital Ventures,False,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-21 17:20:21.938657,Posted 1 day ago,2020-04-22 17:20:21.938657,2020-04-22
2 Closed,2020-04-21,1826796095,Senior Data Scientist (d/m/f),Bayes Esports Solutions GmbH,False,"Berlin, DE",Mid-Senior level,Information Technology & Services,Full-time,Information Technology,Be among the first 25 applicants,2020-04-21 17:07:26.320189,Posted 16 hours ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-21,1596016386,Senior Data Scientist - Search and Discovery (f/m/d),Delivery Hero,False,"Berlin, DE | No longer accepting applications",Associate,Information Technology & Services | Computer Software | Internet,Full-time,Other,--missing--,2020-04-21 17:07:26.320189,--missing--,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-22,1829637195,Data Scientist,Alldus,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-22 09:17:26.802156,Posted 2 hours ago,2020-04-22 09:17:26.802156,2020-04-22
2 Closed,2020-04-22,1829290448,Senior Data Scientist,BCGDV,False,"Berlin, DE",Associate,Marketing & Advertising | Information Technology & Services | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-22 09:17:26.814156,Posted 9 hours ago,2020-04-22 09:17:26.814156,2020-04-22
2 Closed,2020-04-22,1829487017,Data Scientist,Hundred,False,"Berlin, DE",Entry level,"Marketing & Advertising | Internet | Health, Wellness & Fitness",Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-22 09:17:26.810156,Posted 4 hours ago,2020-04-22 09:17:26.810156,2020-04-22
2 Closed,2020-04-22,1829217710,Data Science Dev Ops (m/f/d),theBASE FOL Group GmbH,False,"Berlin, DE",Entry level,Marketing & Advertising | Internet | Real Estate,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-22 09:17:26.818156,Posted 12 hours ago,2020-04-22 09:17:26.818156,2020-04-22
2 Closed,2020-04-26,1800988416,Data Scientist,Alldus,False,"Berlin, DE",Entry level,Information Technology & Services,Full-time,Engineering,Be among the first 25 applicants,2020-04-26 21:08:29.127957,Posted 1 day ago,2020-04-27 21:08:29.127957,2020-04-27
2 Closed,2020-04-26,1822338647,Senior Data Scientist (m/f/d) for established medtech company,Berlin Brandenburg Airport,False,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Staffing & Recruiting,Full-time,Other,Be among the first 25 applicants,2020-04-26 16:32:36.274834,Posted 2 weeks ago,2020-05-10 16:32:36.274834,2020-05-10
