Open,pdate,Job ID,Job title,Company Name,DE,Company Location,Seniority Level,Industry,Employment Type,Job Functions,Number of applicants,pdatetime,Posted Date,cdatetime,cdate
False,2020-03-19,1738848035,Data Scientist,Alldus,False,"Berlin Area, Germany",Mid-Senior level,Staffing & Recruiting,Full-time,Science,Over 200 applicants,2020-03-19 11:30:49.188716,Posted 4 weeks ago,2020-04-16 11:30:49.188716,2020-04-16
False,2020-03-26,1794586945,Senior Data Scientist (m/f/d) for MedTech and Gaming,Berlin Brandenburg Airport,False,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Staffing & Recruiting,Full-time,Other,Be among the first 25 applicants,2020-03-26 11:16:59.452065,Posted 3 weeks ago,2020-04-16 11:16:59.452065,2020-04-16
False,2020-04-02,1803544344,Data Scientist,Vendo Services,False,"Berlin, Germany",Mid-Senior level,Information Technology & Services,Full-time,Analyst | Engineering | Information Technology,Over 200 applicants,2020-04-02 10:29:13.326239,Posted 2 weeks ago,2020-04-16 10:29:13.326239,2020-04-16
False,2020-04-02,1776883064,Senior Research Engineer - Pricing and Personalisation (Python),Zalando SE,False,"Berlin, DE",Mid-Senior level,Internet | Retail | Information Technology & Services,Full-time,Research,Be among the first 25 applicants,2020-04-02 10:12:22.054023,Posted 2 weeks ago,2020-04-16 10:12:22.054023,2020-04-16
False,2020-04-09,1812317421,Senior Data Scientist,BCGDV,False,"Berlin, DE",Associate,Marketing & Advertising | Staffing & Recruiting | Management Consulting,Full-time,Other,Be among the first 25 applicants,2020-04-09 10:37:26.454266,Posted 1 week ago,2020-04-16 10:37:26.454266,2020-04-16
False,2020-04-09,1812948296,Data Scientist,Hundred,False,"Berlin, DE",Entry level,"Marketing & Advertising | Internet | Health, Wellness & Fitness",Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-09 11:21:50.762824,Posted 1 week ago,2020-04-16 11:21:50.762824,2020-04-16
False,2020-04-15,1802141086,Research Engineer - Customer Measurement Prediction,Zalando SE,False,"Berlin, DE",Mid-Senior level,Internet | Retail | Information Technology & Services,Full-time,Research,Be among the first 25 applicants,2020-04-15 10:12:38.978317,Posted 1 day ago,2020-04-16 10:12:38.978317,2020-04-16
False,2020-04-16,1826796095,Senior Data Scientist (d/m/f),Bayes Esports Solutions GmbH,False,"Berlin, DE",Mid-Senior level,Information Technology & Services,Full-time,Information Technology,Be among the first 25 applicants,2020-04-16 09:40:36.203752,Posted 16 hours ago,2020-04-16 09:40:36.203752,2020-04-16
False,2020-03-26,1796661514,(Senior) Data Scientist / Machine Learning Expert (w/m/d),Hypoport SE,True,"Berlin, DE",Associate,Information Technology & Services | Internet | Staffing & Recruiting,Full-time,Other,Be among the first 25 applicants,2020-03-26 11:17:23.072763,Posted 3 weeks ago,2020-04-16 11:17:23.072763,2020-04-16
False,2020-04-02,1802852613,"45516: Computer scientist, Data scientist, Mathematician or 
similar - Research in the field of software architectures or system 
architectures",German Aerospace Academy,True,"Berlin, DE",Associate,Computer Software | Research | Mechanical Or Industrial Engineering,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-02 11:29:02.883965,Posted 2 weeks ago,2020-04-16 11:29:02.883965,2020-04-16
False,2020-04-08,1813212245,Senior Data Scientist,tayfunRecruitment,True,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-08 23:44:09.824822,Posted 1 week ago,2020-04-15 23:44:09.824822,2020-04-15
